SEASON,SEASON_START_DATE,TEAM_A_ID,TEAM_A_NAME,TEAM_B_ID,TEAM_B_NAME,DATE_BEFORE_GAME,GAME_DATE,HOME_TEAM,WINNER
2014-15,2014-10-28,1610612747,Lakers,1610612763,Grizzlies,2015-01-01,2015-01-02,1,0
2014-15,2014-10-28,1610612747,Lakers,1610612763,Grizzlies,2014-11-25,2014-11-26,1,0
2014-15,2014-10-28,1610612747,Lakers,1610612763,Grizzlies,2014-11-10,2014-11-11,0,0
2015-16,2015-10-27,1610612747,Lakers,1610612763,Grizzlies,2016-03-21,2016-03-22,1,1
2015-16,2015-10-27,1610612747,Lakers,1610612763,Grizzlies,2016-02-25,2016-02-26,1,0
2015-16,2015-10-27,1610612747,Lakers,1610612763,Grizzlies,2016-02-23,2016-02-24,0,0
2015-16,2015-10-27,1610612747,Lakers,1610612763,Grizzlies,2015-12-26,2015-12-27,0,0
2016-17,2016-10-25,1610612747,Lakers,1610612763,Grizzlies,2017-04-01,2017-04-02,1,1
2016-17,2016-10-25,1610612747,Lakers,1610612763,Grizzlies,2017-01-02,2017-01-03,1,1
2016-17,2016-10-25,1610612747,Lakers,1610612763,Grizzlies,2016-12-02,2016-12-03,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612763,Grizzlies,2018-03-23,2018-03-24,0,1
2017-18,2017-10-17,1610612747,Lakers,1610612763,Grizzlies,2018-01-14,2018-01-15,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612763,Grizzlies,2017-12-26,2017-12-27,1,0
2017-18,2017-10-17,1610612747,Lakers,1610612763,Grizzlies,2017-11-04,2017-11-05,1,1
2018-19,2018-10-16,1610612747,Lakers,1610612763,Grizzlies,2019-02-24,2019-02-25,0,0
2018-19,2018-10-16,1610612747,Lakers,1610612763,Grizzlies,2018-12-22,2018-12-23,1,0
2018-19,2018-10-16,1610612747,Lakers,1610612763,Grizzlies,2018-12-07,2018-12-08,0,1
2019-20,2019-10-22,1610612747,Lakers,1610612763,Grizzlies,2020-02-28,2020-02-29,0,0
2019-20,2019-10-22,1610612747,Lakers,1610612763,Grizzlies,2020-02-20,2020-02-21,1,1
2019-20,2019-10-22,1610612747,Lakers,1610612763,Grizzlies,2019-11-22,2019-11-23,0,1
2019-20,2019-10-22,1610612747,Lakers,1610612763,Grizzlies,2019-10-28,2019-10-29,1,1
2020-21,2020-12-22,1610612747,Lakers,1610612763,Grizzlies,2021-02-11,2021-02-12,1,1
2020-21,2020-12-22,1610612747,Lakers,1610612763,Grizzlies,2021-01-04,2021-01-05,0,1
2020-21,2020-12-22,1610612747,Lakers,1610612763,Grizzlies,2021-01-02,2021-01-03,0,1
